SCHEMA_ID,NAME,TYPE,DESCRIPTION,MULTIVALUED,REQUIRED,CASE_EXACT,MUTABILITY,RETURNED,UNIQUENESS,CANONICAL_VALUES,REFERENCE_TYPES,SUB_ATTRIBUTE_OF
urn:ietf:params:scim:schemas:core:2.0:Group,displayName,string,A human-readable name for the Group. REQUIRED.,0,1,0,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Group,members,complex,A list of members of the Group.,1,0,0,readWrite,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:Group,value,string,Identifier of the member of this Group.,0,0,0,immutable,default,none,NULL,NULL,members
urn:ietf:params:scim:schemas:core:2.0:Group,$ref,reference,The URI corresponding to a SCIM resource that is a member of this Group.,0,0,0,immutable,default,none,NULL,"User,Group",members
urn:ietf:params:scim:schemas:core:2.0:Group,type,string,"A label indicating the type of resource, e.g., User or Group.",0,0,0,immutable,default,none,"User,Group",NULL,members
urn:ietf:params:scim:schemas:core:2.0:Group,display,string,"A human-readable name, primarily used for display purposes.  READ-ONLY.",0,0,0,readWrite,default,none,NULL,NULL,members
urn:ietf:params:scim:schemas:core:2.0:Group,externalId,string,"Identifier for the resource as defined by the provisioning client.",0,0,1,readWrite,default,none,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,documentationUri,reference,An HTTP-addressable URL pointing to the service providers human-consumable help documentation.,0,0,0,readOnly,default,none,NULL,external,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,patch,complex,A complex type that specifies PATCH configuration options.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,supported,boolean,A Boolean value specifying whether or not the operation is supported.,0,1,0,readOnly,default,NULL,NULL,NULL,patch
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,bulk,complex,A complex type that specifies bulk configuration options.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,supported,boolean,A Boolean value specifying whether or not the operation is supported.,0,1,0,readOnly,default,NULL,NULL,NULL,bulk
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,maxOperations,integer,An integer value specifying the maximum number of operations.,0,1,0,readOnly,default,none,NULL,NULL,bulk
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,maxPayloadSize,integer,An integer value specifying the maximum payload size in bytes.,0,1,0,readOnly,default,none,NULL,NULL,bulk
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,filter,complex,A complex type that specifies FILTER options.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,supported,boolean,A Boolean value specifying whether or not the operation is supported.,0,1,0,readOnly,default,NULL,NULL,NULL,filter
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,maxResults,integer,An integer value specifying the maximum number of resources returned in a response.,0,1,0,readOnly,default,none,NULL,NULL,filter
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,changePassword,complex,A complex type that specifies configuration options related to changing a password.,0,1,0,readOnly,default,NULL,NULL,NULL,NULL
urn:ietf:params:scim:schemas:core:2.0:ServiceProviderConfig,supported,boolean,A Boolean value specifying whether or not the operation is supported.,0,1,0,readOnly,default,NULL,NULL,NULL,changePassword
